Scientific name,Common name,Detections,Max confidence,Mean confidence,First start (s),Last end (s)
Columba palumbus,Common Wood-Pigeon,1129,0.9951,0.6700,3228.064,25122.064
Troglodytes troglodytes,Eurasian Wren,743,0.9995,0.6636,525,25179.064
Turdus merula,Eurasian Blackbird,645,0.9980,0.4968,1245.043,23277.043
Parus major,Great Tit,413,0.9970,0.5876,5712.064,25170.064
Certhia familiaris,Eurasian Treecreeper,299,0.9931,0.5371,2709,24663.064
Cyanistes caeruleus,Eurasian Blue Tit,190,0.9987,0.5619,5097,25113.064
Erithacus rubecula,European Robin,187,0.9804,0.5343,150,22284.064
Regulus regulus,Goldcrest,124,0.9245,0.4742,10041,23589.021
Phylloscopus collybita,Common Chiffchaff,108,0.9913,0.5159,12996.064,22668.064
Larus argentatus,Herring Gull,99,0.9437,0.5356,546,23655.021
Corvus corone,Carrion Crow,84,0.8974,0.4578,8400.043,24171
Corvus cornix,Hooded Crow,75,0.9536,0.5258,8400.043,24225
Certhia americana,Brown Creeper,71,0.8943,0.4138,3861.043,24660.064
Columba oenas,Stock Dove,59,0.9547,0.4473,3222.064,22593.064
Aegithalos caudatus,Long-tailed Tit,44,0.7760,0.4205,8643.043,23169.043
Larus michahellis,Yellow-legged Gull,39,0.8885,0.4604,804.064,23655.021
Carduelis carduelis,European Goldfinch,38,0.9637,0.5710,12234,24960.064
Turdus viscivorus,Mistle Thrush,32,0.9489,0.5080,1326.043,13956.021
Pica pica,Eurasian Magpie,31,0.9599,0.6645,10269.064,22974.043
Siren,Siren,30,0.9871,0.5202,17622.064,24882.064
Periparus ater,Coal Tit,30,0.8929,0.4561,11184.043,25140.064
Streptopelia decaocto,Eurasian Collared-Dove,30,0.7972,0.4501,3405.064,24366
Regulus ignicapilla,Common Firecrest,29,0.8009,0.3911,5115,21678
Turdus iliacus,Redwing,27,0.9272,0.4980,219,24771.064
Human vocal,Human vocal,23,0.9177,0.4576,45,23862.021
Engine,Engine,19,0.8973,0.4097,9591.021,23820.021
Regulus satrapa,Golden-crowned Kinglet,19,0.5588,0.3534,9978,24594
Accipiter gentilis,Northern Goshawk,18,0.8683,0.5001,3633.043,18261.043
Larus fuscus,Lesser Black-backed Gull,16,0.6769,0.4530,7371,23655.021
Streptopelia orientalis,Oriental Turtle-Dove,16,0.5945,0.3586,8229.064,20937.043
Ramphastos ambiguus,Yellow-throated Toucan,13,0.8945,0.4303,6987.021,15705.043
Hydrobates leucorhous,Leach's Storm-Petrel,12,0.7307,0.4607,762.064,6930.021
Gallinula chloropus,Eurasian Moorhen,10,0.9055,0.5168,276,5388
Sylvia atricapilla,Eurasian Blackcap,10,0.8911,0.6863,11463.021,11679.021
Euphonia affinis,Scrub Euphonia,9,0.9778,0.6366,12210,24804.064
Muscicapa striata,Spotted Flycatcher,9,0.9286,0.4503,3573.064,8208.064
Coccothraustes coccothraustes,Hawfinch,9,0.7758,0.4400,168,21786
Strix aluco,Tawny Owl,9,0.5536,0.3749,75,20763.043
Bubo bubo,Eurasian Eagle-Owl,8,0.7017,0.4298,510,16308.021
Columba livia,Rock Pigeon,8,0.3649,0.2946,3246.064,23865.021
Picus canus,Gray-headed Woodpecker,7,0.6022,0.3976,6804.021,23994.021
Turdus philomelos,Song Thrush,7,0.5375,0.3645,4380.021,24036
Picus viridis,Eurasian Green Woodpecker,7,0.5355,0.3314,5205,22782.064
Botaurus stellaris,Great Bittern,6,0.6247,0.3841,2631,22485.064
Tyto alba,Barn Owl,6,0.4741,0.3318,2052.021,6681.021
Cyanistes teneriffae,African Blue Tit,5,0.7444,0.5903,11727.021,11742.021
Porzana porzana,Spotted Crake,5,0.4355,0.3581,5085,22149
Chrysolophus amherstiae,Lady Amherst's Pheasant,5,0.3510,0.3046,8469.043,18942.021
